metric,model_a,model_b,mean_diff,diff_per_seed,consistent_direction,paired_t_p,wilcoxon_p,cohens_d
weighted_r2,dimenet_pp,spherenet,0.000308920939763387,"[-0.003201127052307129, 0.0020020604133605957, -0.002234160900115967, 0.0014109611511230469, 0.002266108989715576, 0.0016096830368041992]",False,0.7636581019201836,1.0,0.12963978715130114
polar_mae,dimenet_pp,spherenet,1.879129558801651e-05,"[0.0003779381513595581, -0.00019440241158008575, 0.00026221200823783875, -4.490651190280914e-05, -0.00013551488518714905, -0.00015257857739925385]",False,0.8561723479003904,1.0,0.07790218395835219
emd_raw,dimenet_pp,spherenet,-4.490397869963345e-06,"[3.475250548070328e-05, -2.4434838287424546e-05, 2.3436097861702842e-05, -1.2325710238843528e-05, -2.1102235719118543e-05, -2.726820631679958e-05]",False,0.6978110239036541,0.84375,-0.16795839497436382
weighted_r2,dimenet_pp,dimenet,0.0007318655649820963,"[-0.00032722949981689453, 0.0008407831192016602, 0.000639796257019043, 0.0009835362434387207, 0.0014920830726623535, 0.0007622241973876953]",False,0.030064053280679803,0.0625,1.2251605858328711
polar_mae,dimenet_pp,dimenet,-7.423789550860722e-05,"[-2.779252827167511e-05, -0.0001586470752954483, -0.000132635235786438, -3.077089786529541e-06, -0.00011649727821350098, -6.778165698051453e-06]",True,0.04711806308675702,0.03125,-1.06946470902751
emd_raw,dimenet_pp,dimenet,-2.361629558134614e-06,"[3.5982409309741207e-06, -9.027549740911315e-06, -5.82043630785044e-06, 5.550981005144956e-06, -4.095761408924917e-06, -4.375251827240089e-06]",False,0.355563616170261,0.3125,-0.415423089468898
weighted_r2,dimenet_pp,painn,0.0023477673530578613,"[0.001520395278930664, 0.002618849277496338, 0.002209007740020752, 0.002215862274169922, 0.0030780434608459473, 0.002444446086883545]",True,0.00010254399509894065,0.03125,4.539627966640852
polar_mae,dimenet_pp,painn,0.00016390345990657806,"[0.00017538852989673615, 8.837133646011353e-05, 0.00010960735380649567, 0.00020684488117694855, 0.0001471489667892456, 0.0002560596913099289]",True,0.0013373223116784486,0.03125,2.6311402240619595
emd_raw,dimenet_pp,painn,-1.9301494370588354e-05,"[-1.5764698417198024e-05, -2.4141575518304655e-05, -1.8695916259204464e-05, -1.9293540881242335e-05, -1.9535265224949962e-05, -1.8377969922630686e-05]",True,1.1717005913919932e-05,0.03125,-7.075353950198893
weighted_r2,dimenet_pp,torchmdnet,0.004059066375096639,"[0.0029276013374328613, 0.0047037601470947266, 0.004845023155212402, 0.004161834716796875, 0.004004955291748047, 0.003711223602294922]",True,3.109201469866206e-05,0.03125,5.80096911506418
polar_mae,dimenet_pp,torchmdnet,-0.00014508329331874847,"[-0.00014576315879821777, -0.000182274729013443, -0.0001819133758544922, -0.00012872368097305298, -6.70161098241806e-05, -0.0001648087054491043]",True,0.0004500060904164063,0.03125,-3.3299581746270053
emd_raw,dimenet_pp,torchmdnet,-2.6792157621456615e-05,"[-1.75013343026388e-05, -3.4373178158840414e-05, -3.211654521702572e-05, -3.0855851546193356e-05, -1.9879257757103846e-05, -2.6026778746937552e-05]",True,0.00021506108431043643,0.03125,-3.891283674529269
weighted_r2,dimenet_pp,schnet,0.007801870505015056,"[0.007490217685699463, 0.0033896565437316895, 0.008655011653900146, 0.008822977542877197, 0.00924539566040039, 0.009207963943481445]",True,0.00037479698623236535,0.03125,3.461783847584975
polar_mae,dimenet_pp,schnet,-0.00012566987425088882,"[-0.00019393488764762878, 0.000331338495016098, -0.000316055491566658, -0.00019765645265579224, -0.00020423159003257751, -0.00017347931861877441]",False,0.23756381525619935,0.4375,-0.5475271516098021
emd_raw,dimenet_pp,schnet,-4.9934292277926843e-05,"[-4.977933216725205e-05, -9.244334247738586e-06, -6.262732629575907e-05, -5.511315409917046e-05, -6.242115949696642e-05, -6.0420447360674486e-05]",True,0.0019096039846255033,0.03125,-2.4310446183227947
weighted_r2,dimenet_pp,egnn,0.008752246697743734,"[0.007937908172607422, 0.00969010591506958, 0.008940517902374268, 0.008490800857543945, 0.008976519107818604, 0.008477628231048584]",True,3.109050984034663e-07,0.03125,14.700876186478778
polar_mae,dimenet_pp,egnn,-0.0005762033785382906,"[-0.0005517471581697464, -0.0005475208163261414, -0.0006880238652229309, -0.00047839246690273285, -0.0005792900919914246, -0.0006122458726167679]",True,5.717974528736836e-06,0.03125,-8.181508347324796
emd_raw,dimenet_pp,egnn,-6.856367668148915e-05,"[-6.230516681006069e-05, -6.903494779556332e-05, -6.742563359172496e-05, -6.566312217524701e-05, -7.116737218918173e-05, -7.578581752715717e-05]",True,3.057827833867923e-07,0.03125,-14.74996310645829
weighted_r2,dimenet_pp,unimol,0.019307265679041546,"[0.017246246337890625, 0.01942533254623413, 0.015759408473968506, 0.01692366600036621, 0.023798704147338867, 0.022690236568450928]",True,2.9416047078141418e-05,0.03125,5.8669745312616435
polar_mae,dimenet_pp,unimol,-0.0011264216154813766,"[-0.0009738318622112274, -0.0011108778417110443, -0.0008942205458879471, -0.0009992588311433792, -0.00129031203687191, -0.0014900285750627518]",True,6.353793617869576e-05,0.03125,-5.010694541633709
emd_raw,dimenet_pp,unimol,-0.00012384947820819387,"[-0.00010602337112378222, -0.00012667505070162273, -0.00010576533342879582, -0.00010844121164485607, -0.0001408575341896337, -0.00015533436816047262]",True,2.75971248775854e-05,0.03125,-5.943900883511207
weighted_r2,dimenet_pp,mace,0.01887500286102295,"[0.018024742603302002, 0.01945096254348755, 0.019147515296936035, 0.01912921667098999, 0.01888132095336914, 0.01861625909805298]",True,2.8636202608666706e-09,0.03125,37.591731823956344
polar_mae,dimenet_pp,mace,-0.0008224503447612127,"[-0.0007841121405363083, -0.0006558522582054138, -0.0009791236370801926, -0.0008585751056671143, -0.0009258445352315903, -0.0007311943918466568]",True,1.4708631219364576e-05,0.03125,-6.756198281140456
emd_raw,dimenet_pp,mace,-0.00012932673027339907,"[-0.00011218319543891567, -0.00013211663006433832, -0.00013533549217824357, -0.00012647708560898328, -0.00013217390716104861, -0.00013767407118886498]",True,3.897357320508497e-07,0.03125,-14.049047046931882
